Sample,Sed_TOC,Sed_TN,HPAH,LPAH,Ag,As,Cd,Cr,Cu,Hg,Pb,Zn,PBDE47,Ni,Se,Sn
Long-term_2018_281_1,1.28,0.12,245.54,97.46,0.109,8.05,0.131,24.5,35.1,0.0629,12,49.9,0.184,18.5,0.349,1
Long-term_2017_40005_1,5.38,0.26,508.31,83.97,0.142,11,0.999,39,36.5,0.111,16.4,90.1,0.111,29.3,0.953,1.53
Long-term_2017_40005_2,4.85,0.28,508.31,83.97,0.142,11,0.999,39,36.5,0.111,16.4,90.1,0.111,29.3,0.953,1.53
Long-term_2017_40005_3,4.17,0.28,508.31,83.97,0.142,11,0.999,39,36.5,0.111,16.4,90.1,0.111,29.3,0.953,1.53
Long-term_2018_40005_1,4.74,0.27,508.31,83.97,0.142,11,0.999,39,36.5,0.111,16.4,90.1,0.111,29.3,0.953,1.53
Long-term_2017_40006_1,0.34,0.1,180.12,37.22,0.05,3.87,0.136,26.2,8.4,0.0326,6.11,31.3,0.042,21.3,0.25,0.6
Long-term_2017_40006_2,0.37,0.1,180.12,37.22,0.05,3.87,0.136,26.2,8.4,0.0326,6.11,31.3,0.042,21.3,0.25,0.6
Long-term_2017_40006_3,0.22,0.1,180.12,37.22,0.05,3.87,0.136,26.2,8.4,0.0326,6.11,31.3,0.042,21.3,0.25,0.6
Long-term_2018_40006_1,0.61,0.04,180.12,37.22,0.05,3.87,0.136,26.2,8.4,0.0326,6.11,31.3,0.042,21.3,0.25,0.6
Long-term_2017_40007_1,0.32,0.1,94.33,21.19,0.05,7.33,0.157,34.1,8.35,0.0265,3.92,31.1,0.059,34.7,0.25,0.25
Long-term_2017_40007_2,0.3,0.1,94.33,21.19,0.05,7.33,0.157,34.1,8.35,0.0265,3.92,31.1,0.059,34.7,0.25,0.25
Long-term_2017_40007_3,0.35,0.1,94.33,21.19,0.05,7.33,0.157,34.1,8.35,0.0265,3.92,31.1,0.059,34.7,0.25,0.25
Long-term_2018_40007_1,0.23,0.03,94.33,21.19,0.05,7.33,0.157,34.1,8.35,0.0265,3.92,31.1,0.059,34.7,0.25,0.25
Long-term_2017_40008_1,2.29,0.26,387.04,79.36,0.298,12.1,0.671,36.7,47.2,0.172,28.9,87,0.2,30.6,0.904,1.93
Long-term_2017_40008_2,2.21,0.25,387.04,79.36,0.298,12.1,0.671,36.7,47.2,0.172,28.9,87,0.2,30.6,0.904,1.93
Long-term_2017_40008_3,2.13,0.26,387.04,79.36,0.298,12.1,0.671,36.7,47.2,0.172,28.9,87,0.2,30.6,0.904,1.93
Long-term_2018_40008_1,2.17,0.27,387.04,79.36,0.298,12.1,0.671,36.7,47.2,0.172,28.9,87,0.2,30.6,0.904,1.93
Long-term_2017_40009_1,0.34,0.1,57.27,15.1,0.05,6.83,0.119,23.2,8.73,0.0185,3.16,36.8,0.19,20.5,0.25,0.24
Long-term_2017_40009_2,0.27,0.1,57.27,15.1,0.05,6.83,0.119,23.2,8.73,0.0185,3.16,36.8,0.19,20.5,0.25,0.24
Long-term_2017_40009_3,0.3,0.1,57.27,15.1,0.05,6.83,0.119,23.2,8.73,0.0185,3.16,36.8,0.19,20.5,0.25,0.24
Long-term_2018_40009_1,0.26,0.05,57.27,15.1,0.05,6.83,0.119,23.2,8.73,0.0185,3.16,36.8,0.19,20.5,0.25,0.24
